#      Temp          vlos          vturb         n_e
      5907.24      -144704.       474481.   1.83761e+11
      6108.07       175700.       628731.   2.53181e+11
      6323.60       234897.       627032.   2.50626e+11
      6145.93       192842.       476322.   2.99302e+11
      6162.60      -169947.       537661.   3.30495e+11
      6212.75      -13011.7       723440.   2.82374e+11
      6013.61       250199.       547487.   2.12640e+11
      6177.16      -8974.86       289174.   2.42761e+11
      5866.63       94634.6       332115.   1.70782e+11
      6107.15   1.07169e+06       456993.   2.95967e+11
      6110.47      -76513.0       649556.   1.94727e+11
      5988.04      -283941.       533815.   2.02315e+11
      5953.31       47877.7       790475.   1.88478e+11
      5909.51       7188.05       920158.   2.12292e+11
      5996.73      -165841.       735723.   2.11288e+11
      5918.97      -77871.1       658231.   2.01692e+11
      6026.83       76059.4       419195.   2.17325e+11
      5827.92       97451.4       324888.   1.67122e+11
      6234.71       89151.4       517029.   3.07937e+11
      6166.74       231482.       573563.   2.97796e+11
      6166.74       231482.       573563.   2.97796e+11
      5942.77       106275.       391001.   1.94930e+11
      6329.88      -118216.       408162.   2.78178e+11
      6123.46       39911.6       312422.   2.42612e+11
      5975.73       117915.       459806.   1.95388e+11
      6097.73       276892.       403046.   2.28814e+11
      6222.11       110099.       348004.   2.70723e+11
      6222.11       110099.       348004.   2.70723e+11
      5827.92       97451.4       324888.   1.67122e+11
      6127.96      -82873.9       605832.   2.74111e+11
      6224.33       19866.6       388295.   2.31433e+11
      6204.28       247527.       499246.   2.37905e+11
      6173.88       34180.1       426758.   2.73780e+11
      6107.00      -18147.3       619659.   2.63578e+11
      6137.40      -50457.9       495706.   2.37609e+11
      6156.19       17525.9       502884.   2.72404e+11
      6355.97       178475.       488396.   2.67840e+11
      6222.11       110099.       348004.   2.70723e+11
      6064.18       297524.       367285.   2.46715e+11
      6222.11       110099.       348004.   2.70723e+11
      6076.31       180517.       452363.   2.31212e+11
      6061.13       84293.0       478852.   2.33479e+11
      6032.49       130738.       725830.   2.14106e+11
      6032.49       130738.       725830.   2.14106e+11
      6282.89      -54852.5       863071.   3.13743e+11
      6116.67      -280628.       653624.   2.49211e+11
      6038.33       200845.       606499.   2.20332e+11
      6061.27       403746.       534887.   2.26084e+11
      6370.20       232028.       653383.   3.15201e+11
      6206.44      -193120.       440344.   3.45232e+11
      6123.43       103277.       603145.   1.96943e+11
      6105.09      -390224.       504500.   2.93769e+11
      6055.68      -764816.       415309.   2.07871e+11
      6024.60       14558.8       439311.   2.05542e+11
      6024.60       14558.8       439311.   2.05542e+11
      6316.16      -69441.2       630201.   2.41300e+11
      6153.92       50733.1       611268.   2.33266e+11
      6108.07       175700.       628731.   2.53181e+11
