#      Temp          vlos          vturb         n_e
      313.116       568613.       169076.   1.55498e+12
      165.896       274287.       67057.0   1.28442e+12
      193.747       229300.       52099.6   1.48527e+11
      263.145       445507.       167538.   3.65394e+11
      403.937   1.23788e+06       255984.   2.34897e+11
      611.750       916326.       471359.   7.90058e+11
      798.653   3.35502e+06       512039.   4.67035e+11
      338.947       446163.       187147.   1.73395e+12
      263.482       310234.       75709.0   2.04217e+11
      162.842       454365.       56309.0   1.88796e+11
      184.556       421950.       99628.4   2.55861e+11
      215.192       429943.       93600.2   7.16668e+11
      152.687       270864.       84487.3   2.40095e+11
      89.9525       315841.       35690.9   1.73690e+11
      356.749       580561.       289375.   6.30900e+11
      119.213       195148.       52113.8   1.74200e+11
      210.030       308710.       105388.   7.01563e+11
      503.063       832576.       396397.   5.31958e+11
      320.132       539165.       185686.   1.96354e+11
      140.915       227066.       69229.7   2.66974e+11
      149.860       240736.       72970.2   2.84238e+11
      254.206       298340.       78598.3   1.69682e+11
      292.958       416810.       137902.   1.07757e+12
      229.021       400136.       65015.7   1.79777e+11
      193.479       256127.       88224.8   7.45907e+11
      347.987       947859.       254381.   4.62122e+11
      151.140       205884.       62461.1   1.87133e+11
      140.386       192064.       58549.6   1.73503e+11
      548.355       916504.       433647.   5.80617e+11
      168.425       231955.       44195.1   1.39951e+11
      230.616       431334.       142741.   1.57520e+11
      160.162       235307.       54685.8   1.68687e+11
      161.821       322098.       72776.9   3.76191e+11
      176.846       230532.       81361.2   4.26023e+11
      130.847       238999.       59288.4   4.94363e+11
      447.049       605154.       284620.   7.49296e+11
      115.297       161355.       45943.4   4.79169e+11
      150.201       204313.       62253.5   1.85641e+11
      190.262       358021.       82132.4   2.60216e+11
      143.319       195495.       59454.6   1.77837e+11
      136.182       271322.       67007.9   1.78389e+11
      311.288       448368.       188623.   1.29134e+12
      332.501       703397.       229873.   1.89415e+11
      311.526       656347.       211905.   1.73490e+11
      92.0659       196443.       35291.7   3.15762e+11
      180.843       365391.       47077.2   1.58108e+11
      291.775       491364.       184894.   4.43554e+11
      156.774       281450.       63399.9   2.14312e+11
      240.927       318944.       117808.   1.33805e+12
      218.101       411341.       125688.   2.41991e+11
      132.637       237486.       59041.2   3.65612e+11
      119.167       283607.       41064.8   7.32367e+11
      263.683   1.59600e+06       149694.   3.69329e+11
      471.848       690832.       314283.   5.53775e+11
      459.455       672543.       306831.   5.47833e+11
      67.9131       159753.       24292.1   1.75926e+11
      436.668   1.03154e+06       311252.   8.45224e+11
      170.328       279692.       66732.9   1.32812e+12
      171.145       572278.       84529.5   2.85124e+11
      1302.13   5.75250e+06       577521.   1.36737e+12
      221.016   1.14405e+06       124966.   1.57232e+11
      587.167       926836.       434439.   8.54961e+11
      164.011       276072.       77837.0   3.09394e+11
      169.142       285132.       79670.9   3.18029e+11
      160.034       314026.       70030.6   3.73949e+11
      262.181       285379.       81395.5   2.58033e+11
      205.062       281704.       108431.   4.36460e+11
      180.378       357600.       87870.2   2.37571e+11
      109.969       184042.       42569.1   1.96176e+11
      139.143       212179.       55209.3   3.64929e+11
      357.466       525545.       239508.   1.43402e+12
      179.160       319023.       92964.7   2.96945e+11
      189.037       264652.       81711.0   2.57251e+11
      509.267       690279.       325906.   8.46988e+11
      486.890       662927.       311462.   8.12172e+11
      267.208       305664.       82558.8   1.62136e+11
      254.401       522583.       134602.   3.76426e+11
      571.109       780934.       365964.   9.63447e+11
      529.958       723612.       339458.   8.94398e+11
      141.692       191952.       52187.1   2.13692e+11
      178.759       528330.       74725.2   5.92987e+11
      210.219       331090.       111479.   3.00483e+11
      147.925       465298.       64892.1   3.29817e+11
      122.904       200923.       46270.7   2.18442e+11
      163.387       265577.       52171.3   2.02746e+11
      152.081       246619.       74836.1   2.86228e+11
      408.005       548718.       207834.   1.93242e+12
      646.118   1.01269e+06       492946.   9.18976e+11
      523.098       993828.       378606.   4.80740e+11
      284.218       372091.       95400.0   9.33064e+11
      687.430   1.09453e+06       530686.   9.75414e+11
      675.864   1.06365e+06       518906.   9.61112e+11
      354.219       597075.       204055.   2.18380e+11
      233.447       531830.       121372.   3.33768e+11
      185.094       330854.       87843.9   4.34119e+11
      278.209       357059.       103354.   5.69736e+11
      181.098       547736.       97320.9   2.54163e+11
      210.688       388236.       88531.6   2.95849e+11
      180.780       283471.       95428.0   2.57734e+11
      1350.76   2.61146e+06   1.16943e+06   5.16629e+11
      309.646       370083.       252544.   6.48227e+11
      88.8819       149727.       37242.5   1.64083e+11
      210.191       296361.       60894.9   1.98855e+11
      195.719       357631.       97537.8   3.48033e+11
      286.311       641375.       186759.   1.44672e+11
      190.529       140712.       89935.1   2.73309e+11
      221.959       347631.       78158.5   1.99792e+11
      212.441       334045.       75581.0   1.95800e+11
      1079.71   2.27582e+06       989371.   4.10844e+11
      1041.49   2.16476e+06       945210.   3.94638e+11
      118.254       234205.       47101.1   1.57878e+11
      123.186       178998.       48072.9   1.59869e+11
      398.294       721068.       299471.   7.00158e+11
      193.662       358013.       101289.   4.34292e+11
      621.762       962304.       449921.   6.56042e+11
      578.488   1.15832e+06       470915.   5.25324e+11
      175.682       351594.       99518.1   2.58614e+11
         -NaN          -NaN          -NaN          -NaN
      504.681       939814.       395798.   3.24554e+11
      341.272   1.01472e+06       220572.   7.10050e+11
      396.749   1.18595e+06       254260.   8.32165e+11
      394.794       833889.       240755.   2.52943e+11
      303.322       475093.       204141.   9.09785e+11
